"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Пустое поле Password при логине","531","Оставить поле Пароль пустым","Sauce Demo SmokeTest","Thu Dec 12 17:23:33 GMT 2024","passed","Thu Dec 12 17:23:33 GMT 2024","tests.LoginTest","Thread#2","tests.LoginTest","checkEmptyPasswordDuringLogin"
"Ввести невалидное имя пользователя","774","Ввести неправильное имя юзера","Sauce Demo SmokeTest","Thu Dec 12 17:23:38 GMT 2024","passed","Thu Dec 12 17:23:38 GMT 2024","tests.LoginTest","Thread#2","tests.LoginTest","checkIncorrectUserNameDuringLogin"
"Ввести невалидный пароль","549","Ввести неправильный пароль","Sauce Demo SmokeTest","Thu Dec 12 17:23:42 GMT 2024","passed","Thu Dec 12 17:23:43 GMT 2024","tests.LoginTest","Thread#2","tests.LoginTest","checkIncorrectPasswordDuringLogin"
"Проверка добавления товара в корзину по имени товара","958","Check added products by name","Sauce Demo SmokeTest","Thu Dec 12 17:23:19 GMT 2024","passed","Thu Dec 12 17:23:20 GMT 2024","tests.CartTest","Thread#1","tests.CartTest","addToCartAndCheckByName"
"Цикл тестов LoginData с разными данными логин/пароль","729","test","Sauce Demo SmokeTest","Thu Dec 12 17:23:19 GMT 2024","passed","Thu Dec 12 17:23:20 GMT 2024","tests.LoginTest","Thread#2","tests.LoginTest","test"
"Ввести невалидное имя пользователя","633","Ввести неправильное имя юзера","Sauce Demo SmokeTest","Thu Dec 12 17:23:35 GMT 2024","passed","Thu Dec 12 17:23:36 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkIncorrectUserNameDuringLogin"
"Проверка удаления товара из корзины","1073","Remove 1 product from the cart","Sauce Demo SmokeTest","Thu Dec 12 17:23:35 GMT 2024","passed","Thu Dec 12 17:23:36 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","removeItemFromCart"
"Пустое поле Password при логине","490","Оставить поле Пароль пустым","Sauce Demo SmokeTest","Thu Dec 12 17:23:23 GMT 2024","passed","Thu Dec 12 17:23:23 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkEmptyPasswordDuringLogin"
"Проверка добавления товара в корзину по имени товара","749","Check added products by name","Sauce Demo SmokeTest","Thu Dec 12 17:23:27 GMT 2024","passed","Thu Dec 12 17:23:27 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","addToCartAndCheckByName"
"Цикл тестов LoginData с разными данными логин/пароль","1289","test","Sauce Demo SmokeTest","Thu Dec 12 17:23:16 GMT 2024","passed","Thu Dec 12 17:23:18 GMT 2024","tests.LoginTest","Thread#2","tests.LoginTest","test"
"Проверка добавления товара в корзину по цене товара","927","Check added products by price","Sauce Demo SmokeTest","Thu Dec 12 17:23:22 GMT 2024","passed","Thu Dec 12 17:23:23 GMT 2024","tests.CartTest","Thread#1","tests.CartTest","addToCartAndCheckByPrice"
"Цикл тестов LoginData с разными данными логин/пароль","601","test","Sauce Demo SmokeTest","Thu Dec 12 17:23:17 GMT 2024","passed","Thu Dec 12 17:23:18 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","test"
"Проверка удаления нескольких товаров из корзины","10843","Remove 2 products from the cart","Sauce Demo SmokeTest","Thu Dec 12 17:23:39 GMT 2024","passed","Thu Dec 12 17:23:50 GMT 2024","tests.CartTest","Thread#1","tests.CartTest","removeMultipleItems"
"Ввести невалидный пароль","672","Ввести неправильный пароль","Sauce Demo SmokeTest","Thu Dec 12 17:23:38 GMT 2024","passed","Thu Dec 12 17:23:38 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkIncorrectPasswordDuringLogin"
"Цикл тестов LoginData с разными данными логин/пароль","734","test","Sauce Demo SmokeTest","Thu Dec 12 17:23:22 GMT 2024","passed","Thu Dec 12 17:23:22 GMT 2024","tests.LoginTest","Thread#2","tests.LoginTest","test"
"Проверка кнопки Continue Shopping","797","Check that click on Continue Sopping Button leads to Main page","Sauce Demo SmokeTest","Thu Dec 12 17:23:46 GMT 2024","passed","Thu Dec 12 17:23:47 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","continueShopping"
"Пустое поле Name при логине","553","Оставить Поле имя пустым","Sauce Demo SmokeTest","Thu Dec 12 17:23:29 GMT 2024","passed","Thu Dec 12 17:23:29 GMT 2024","tests.LoginTest","Thread#2","tests.LoginTest","checkEmptyNameDuringLogin"
"Проверка валидного логина","1007","Проверить позитивный логин","Sauce Demo SmokeTest","Thu Dec 12 17:23:24 GMT 2024","passed","Thu Dec 12 17:23:25 GMT 2024","tests.LoginTest","Thread#2","tests.LoginTest","checkLogin"
"Пустое поле Name при логине","499","Оставить Поле имя пустым","Sauce Demo SmokeTest","Thu Dec 12 17:23:21 GMT 2024","passed","Thu Dec 12 17:23:21 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkEmptyNameDuringLogin"
"Цикл тестов LoginData с разными данными логин/пароль","715","test","Sauce Demo SmokeTest","Thu Dec 12 17:23:15 GMT 2024","passed","Thu Dec 12 17:23:16 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","test"
"Проверка валидного логина","589","Проверить позитивный логин","Sauce Demo SmokeTest","Thu Dec 12 17:23:18 GMT 2024","passed","Thu Dec 12 17:23:19 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLogin"
"Проверка добавления товара в корзину по цене товара","712","Check added products by price","Sauce Demo SmokeTest","Thu Dec 12 17:23:31 GMT 2024","passed","Thu Dec 12 17:23:31 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","addToCartAndCheckByPrice"
"Проверка кнопки Continue Shopping","717","Check that click on Continue Sopping Button leads to Main page","Sauce Demo SmokeTest","Thu Dec 12 17:23:50 GMT 2024","passed","Thu Dec 12 17:23:51 GMT 2024","tests.CartTest","Thread#1","tests.CartTest","continueShopping"
"Проверка удаления нескольких товаров из корзины","855","Remove 2 products from the cart","Sauce Demo SmokeTest","Thu Dec 12 17:23:44 GMT 2024","passed","Thu Dec 12 17:23:45 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","removeMultipleItems"
"Проверка добавления нескольких товаров в корзину","734","Add multiple products to the cart","Sauce Demo SmokeTest","Thu Dec 12 17:23:36 GMT 2024","passed","Thu Dec 12 17:23:37 GMT 2024","tests.CartTest","Thread#1","tests.CartTest","addMultipleItems"
"Проверка добавления нескольких товаров в корзину","802","Add multiple products to the cart","Sauce Demo SmokeTest","Thu Dec 12 17:23:40 GMT 2024","passed","Thu Dec 12 17:23:41 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","addMultipleItems"
"Проверка удаления товара из корзины","11075","Remove 1 product from the cart","Sauce Demo SmokeTest","Thu Dec 12 17:23:24 GMT 2024","passed","Thu Dec 12 17:23:35 GMT 2024","tests.CartTest","Thread#1","tests.CartTest","removeItemFromCart"
"Цикл тестов LoginData с разными данными логин/пароль","589","test","Sauce Demo SmokeTest","Thu Dec 12 17:23:16 GMT 2024","passed","Thu Dec 12 17:23:17 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","test"
